project_id,customer_org,device_model,certification_standard,parameter_name,measured_value,unit,requirement_min,requirement_max,pass_fail,test_date,test_engineer
proj_rt_001,RouterTech Industries,RT-AX6000,FCC,Operating Frequency 2.4GHz,2437.0,MHz,2400.0,2483.5,pass,2024-01-15,jane.tech
proj_rt_001,RouterTech Industries,RT-AX6000,FCC,Max TX Power 2.4GHz,18.5,dBm,-10.0,30.0,pass,2024-01-15,jane.tech
proj_rt_001,RouterTech Industries,RT-AX6000,FCC,Antenna Gain 2.4GHz,5.2,dBi,-5.0,15.0,pass,2024-01-15,jane.tech
proj_rt_001,RouterTech Industries,RT-AX6000,FCC,Spurious Emissions,-45.2,dBc,-80.0,-30.0,pass,2024-01-15,jane.tech
proj_rt_001,RouterTech Industries,RT-AX6000,FCC,Occupied Bandwidth,20.0,MHz,1.0,160.0,pass,2024-01-15,jane.tech
proj_rt_002,WifiCorp,WC-5000,IC,Operating Frequency 5GHz,5180.0,MHz,5150.0,5875.0,pass,2024-01-16,john.test
proj_rt_002,WifiCorp,WC-5000,IC,SAR 1g Head,0.85,W/kg,0.0,2.0,pass,2024-01-16,john.test
proj_rt_002,WifiCorp,WC-5000,IC,SAR 1g Body,0.92,W/kg,0.0,2.0,pass,2024-01-16,john.test
proj_rt_002,WifiCorp,WC-5000,IC,Max TX Power 5GHz,22.1,dBm,-10.0,36.0,pass,2024-01-16,john.test
proj_rt_003,TechRouters Ltd,TR-WiFi6E,CE,SAR 10g Head,1.45,W/kg,0.0,2.0,pass,2024-01-17,jane.tech
proj_rt_003,TechRouters Ltd,TR-WiFi6E,CE,SAR 10g Body,1.38,W/kg,0.0,2.0,pass,2024-01-17,jane.tech
proj_rt_003,TechRouters Ltd,TR-WiFi6E,CE,Unwanted Emissions,-52.3,dBm,-80.0,-30.0,pass,2024-01-17,jane.tech
proj_rt_003,TechRouters Ltd,TR-WiFi6E,CE,Operating Frequency 6GHz,6125.0,MHz,5925.0,7125.0,pass,2024-01-17,jane.tech
proj_rt_004,RouterTech Industries,RT-AX11000,FCC,Operating Frequency 2.4GHz,2462.0,MHz,2400.0,2483.5,pass,2024-01-18,mike.lab
proj_rt_004,RouterTech Industries,RT-AX11000,FCC,Max TX Power 2.4GHz,28.5,dBm,-10.0,30.0,pass,2024-01-18,mike.lab
proj_rt_004,RouterTech Industries,RT-AX11000,FCC,Adjacent Channel Power,-28.4,dBc,-50.0,-16.0,pass,2024-01-18,mike.lab
proj_rt_005,NetworkPro,NP-Enterprise,IC,Channel Bandwidth,80.0,MHz,1.0,160.0,pass,2024-01-19,sarah.eng
proj_rt_005,NetworkPro,NP-Enterprise,IC,Frequency Tolerance,12.5,ppm,-20.0,20.0,pass,2024-01-19,sarah.eng
proj_rt_005,NetworkPro,NP-Enterprise,IC,Antenna Diversity,1.0,boolean,,,pass,2024-01-19,sarah.eng
